20	95
1	2	1
2	3	1
1	4	1
2	4	1
1	5	1
4	5	1
2	6	1
5	6	1
1	7	1
5	7	1
6	7	1
1	8	1
2	8	1
5	8	1
6	8	1
7	8	1
4	9	1
5	9	1
6	9	1
7	9	1
2	10	1
4	10	1
6	10	1
7	10	1
3	11	1
5	11	1
6	11	1
8	11	1
9	11	1
10	11	1
1	12	1
2	12	1
6	12	1
7	12	1
8	12	1
9	12	1
4	13	1
6	13	1
11	13	1
12	13	1
4	14	1
6	14	1
9	14	1
10	14	1
12	14	1
2	15	1
8	15	1
10	15	1
14	15	1
1	16	1
2	16	1
4	16	1
5	16	1
6	16	1
8	16	1
9	16	1
10	16	1
12	16	1
13	16	1
15	16	1
7	17	1
11	17	1
14	17	1
15	17	1
3	18	1
4	18	1
5	18	1
6	18	1
9	18	1
10	18	1
13	18	1
14	18	1
15	18	1
16	18	1
2	19	1
7	19	1
8	19	1
9	19	1
10	19	1
11	19	1
13	19	1
14	19	1
16	19	1
1	20	1
3	20	1
5	20	1
6	20	1
7	20	1
8	20	1
9	20	1
10	20	1
13	20	1
15	20	1
17	20	1
18	20	1
