90	2003
1	4	1
2	4	1
2	5	1
3	5	1
4	5	1
2	6	1
5	6	1
6	7	1
1	8	1
2	8	1
3	8	1
5	8	1
3	9	1
4	9	1
5	9	1
6	9	1
1	10	1
3	10	1
4	10	1
6	10	1
8	10	1
2	11	1
4	11	1
5	11	1
8	11	1
10	11	1
1	12	1
3	12	1
4	12	1
5	12	1
8	12	1
2	13	1
3	13	1
6	13	1
7	13	1
10	13	1
11	13	1
1	14	1
3	14	1
5	14	1
7	14	1
9	14	1
10	14	1
11	14	1
12	14	1
2	15	1
4	15	1
7	15	1
8	15	1
9	15	1
13	15	1
2	16	1
4	16	1
8	16	1
10	16	1
13	16	1
14	16	1
15	16	1
1	17	1
3	17	1
6	17	1
11	17	1
15	17	1
16	17	1
1	18	1
2	18	1
3	18	1
4	18	1
7	18	1
8	18	1
11	18	1
12	18	1
13	18	1
15	18	1
17	18	1
2	19	1
3	19	1
5	19	1
6	19	1
7	19	1
8	19	1
9	19	1
10	19	1
13	19	1
14	19	1
15	19	1
3	20	1
4	20	1
9	20	1
11	20	1
14	20	1
15	20	1
19	20	1
1	21	1
3	21	1
4	21	1
5	21	1
6	21	1
7	21	1
10	21	1
12	21	1
14	21	1
17	21	1
19	21	1
20	21	1
2	22	1
4	22	1
5	22	1
6	22	1
7	22	1
10	22	1
11	22	1
12	22	1
15	22	1
18	22	1
19	22	1
20	22	1
2	23	1
4	23	1
5	23	1
6	23	1
12	23	1
14	23	1
15	23	1
16	23	1
17	23	1
19	23	1
20	23	1
1	24	1
2	24	1
4	24	1
5	24	1
8	24	1
12	24	1
15	24	1
16	24	1
20	24	1
23	24	1
2	25	1
5	25	1
8	25	1
9	25	1
12	25	1
14	25	1
16	25	1
19	25	1
2	26	1
4	26	1
5	26	1
8	26	1
9	26	1
13	26	1
14	26	1
16	26	1
18	26	1
19	26	1
22	26	1
24	26	1
7	27	1
8	27	1
13	27	1
17	27	1
19	27	1
20	27	1
23	27	1
24	27	1
1	28	1
3	28	1
4	28	1
7	28	1
11	28	1
13	28	1
16	28	1
18	28	1
19	28	1
21	28	1
23	28	1
24	28	1
25	28	1
26	28	1
27	28	1
1	29	1
2	29	1
3	29	1
5	29	1
7	29	1
13	29	1
15	29	1
18	29	1
20	29	1
21	29	1
22	29	1
23	29	1
24	29	1
26	29	1
1	30	1
2	30	1
4	30	1
8	30	1
9	30	1
11	30	1
13	30	1
17	30	1
21	30	1
24	30	1
26	30	1
27	30	1
28	30	1
1	31	1
2	31	1
3	31	1
5	31	1
6	31	1
11	31	1
13	31	1
14	31	1
16	31	1
17	31	1
18	31	1
20	31	1
21	31	1
23	31	1
25	31	1
26	31	1
27	31	1
28	31	1
2	32	1
6	32	1
8	32	1
9	32	1
10	32	1
15	32	1
16	32	1
21	32	1
22	32	1
24	32	1
25	32	1
27	32	1
28	32	1
31	32	1
1	33	1
4	33	1
6	33	1
7	33	1
8	33	1
10	33	1
11	33	1
12	33	1
14	33	1
15	33	1
18	33	1
19	33	1
21	33	1
24	33	1
26	33	1
28	33	1
30	33	1
31	33	1
32	33	1
1	34	1
2	34	1
6	34	1
7	34	1
11	34	1
12	34	1
13	34	1
16	34	1
17	34	1
21	34	1
22	34	1
23	34	1
26	34	1
27	34	1
30	34	1
32	34	1
1	35	1
2	35	1
4	35	1
5	35	1
6	35	1
9	35	1
10	35	1
12	35	1
13	35	1
16	35	1
17	35	1
20	35	1
21	35	1
22	35	1
24	35	1
25	35	1
29	35	1
31	35	1
34	35	1
3	36	1
9	36	1
10	36	1
11	36	1
13	36	1
14	36	1
15	36	1
16	36	1
18	36	1
20	36	1
23	36	1
27	36	1
28	36	1
30	36	1
32	36	1
33	36	1
8	37	1
9	37	1
12	37	1
15	37	1
16	37	1
17	37	1
18	37	1
20	37	1
21	37	1
22	37	1
23	37	1
24	37	1
25	37	1
32	37	1
33	37	1
34	37	1
36	37	1
1	38	1
2	38	1
7	38	1
8	38	1
9	38	1
10	38	1
12	38	1
13	38	1
15	38	1
18	38	1
20	38	1
21	38	1
26	38	1
28	38	1
32	38	1
33	38	1
34	38	1
35	38	1
1	39	1
11	39	1
13	39	1
14	39	1
16	39	1
17	39	1
19	39	1
21	39	1
22	39	1
23	39	1
25	39	1
27	39	1
28	39	1
29	39	1
32	39	1
34	39	1
35	39	1
38	39	1
1	40	1
2	40	1
4	40	1
5	40	1
6	40	1
7	40	1
9	40	1
13	40	1
15	40	1
16	40	1
17	40	1
19	40	1
20	40	1
22	40	1
23	40	1
25	40	1
26	40	1
27	40	1
28	40	1
29	40	1
30	40	1
31	40	1
35	40	1
36	40	1
37	40	1
1	41	1
4	41	1
5	41	1
6	41	1
11	41	1
12	41	1
13	41	1
15	41	1
16	41	1
20	41	1
21	41	1
22	41	1
24	41	1
25	41	1
26	41	1
27	41	1
28	41	1
33	41	1
34	41	1
37	41	1
39	41	1
1	42	1
3	42	1
6	42	1
8	42	1
9	42	1
10	42	1
11	42	1
12	42	1
14	42	1
16	42	1
18	42	1
19	42	1
21	42	1
22	42	1
26	42	1
27	42	1
33	42	1
34	42	1
35	42	1
38	42	1
40	42	1
2	43	1
3	43	1
4	43	1
5	43	1
7	43	1
8	43	1
9	43	1
10	43	1
13	43	1
14	43	1
15	43	1
17	43	1
20	43	1
23	43	1
28	43	1
30	43	1
31	43	1
32	43	1
33	43	1
34	43	1
35	43	1
36	43	1
37	43	1
39	43	1
40	43	1
41	43	1
2	44	1
5	44	1
6	44	1
11	44	1
12	44	1
14	44	1
15	44	1
16	44	1
18	44	1
20	44	1
21	44	1
24	44	1
25	44	1
26	44	1
27	44	1
30	44	1
31	44	1
32	44	1
34	44	1
35	44	1
39	44	1
40	44	1
43	44	1
1	45	1
2	45	1
7	45	1
9	45	1
13	45	1
14	45	1
16	45	1
18	45	1
19	45	1
21	45	1
26	45	1
28	45	1
30	45	1
31	45	1
33	45	1
35	45	1
36	45	1
38	45	1
39	45	1
41	45	1
42	45	1
44	45	1
4	46	1
5	46	1
6	46	1
10	46	1
12	46	1
16	46	1
19	46	1
20	46	1
22	46	1
23	46	1
24	46	1
26	46	1
28	46	1
29	46	1
30	46	1
33	46	1
34	46	1
35	46	1
36	46	1
38	46	1
40	46	1
45	46	1
1	47	1
2	47	1
3	47	1
4	47	1
6	47	1
9	47	1
13	47	1
14	47	1
17	47	1
18	47	1
19	47	1
21	47	1
25	47	1
28	47	1
31	47	1
34	47	1
36	47	1
37	47	1
38	47	1
40	47	1
43	47	1
5	48	1
6	48	1
7	48	1
12	48	1
15	48	1
17	48	1
19	48	1
22	48	1
