60	885
1	3	1
2	3	1
2	5	1
3	5	1
3	6	1
2	7	1
3	7	1
4	7	1
5	7	1
2	8	1
3	8	1
5	9	1
6	9	1
1	10	1
4	10	1
6	10	1
8	10	1
2	11	1
3	11	1
4	11	1
5	11	1
7	11	1
10	11	1
2	12	1
3	12	1
4	12	1
5	12	1
6	12	1
7	12	1
9	12	1
10	12	1
3	13	1
4	13	1
5	13	1
6	13	1
7	13	1
8	13	1
11	13	1
12	13	1
1	14	1
2	14	1
3	14	1
4	14	1
5	14	1
6	14	1
8	14	1
10	14	1
13	14	1
2	15	1
6	15	1
7	15	1
10	15	1
3	16	1
4	16	1
5	16	1
6	16	1
7	16	1
8	16	1
9	16	1
12	16	1
4	17	1
5	17	1
7	17	1
8	17	1
9	17	1
12	17	1
13	17	1
16	17	1
1	18	1
5	18	1
7	18	1
11	18	1
12	18	1
13	18	1
14	18	1
15	18	1
1	19	1
2	19	1
3	19	1
4	19	1
6	19	1
7	19	1
12	19	1
13	19	1
14	19	1
15	19	1
16	19	1
18	19	1
1	20	1
4	20	1
5	20	1
9	20	1
10	20	1
12	20	1
13	20	1
14	20	1
15	20	1
17	20	1
18	20	1
2	21	1
3	21	1
4	21	1
6	21	1
10	21	1
12	21	1
16	21	1
17	21	1
18	21	1
1	22	1
5	22	1
6	22	1
7	22	1
8	22	1
13	22	1
17	22	1
20	22	1
21	22	1
1	23	1
2	23	1
3	23	1
4	23	1
6	23	1
10	23	1
11	23	1
15	23	1
18	23	1
20	23	1
22	23	1
1	24	1
3	24	1
4	24	1
5	24	1
6	24	1
7	24	1
8	24	1
9	24	1
13	24	1
15	24	1
16	24	1
17	24	1
18	24	1
23	24	1
1	25	1
5	25	1
9	25	1
11	25	1
15	25	1
16	25	1
18	25	1
20	25	1
24	25	1
5	26	1
6	26	1
7	26	1
8	26	1
12	26	1
13	26	1
14	26	1
15	26	1
16	26	1
20	26	1
22	26	1
23	26	1
25	26	1
4	27	1
5	27	1
6	27	1
7	27	1
9	27	1
12	27	1
14	27	1
16	27	1
21	27	1
23	27	1
5	28	1
9	28	1
11	28	1
12	28	1
13	28	1
15	28	1
16	28	1
17	28	1
19	28	1
22	28	1
25	28	1
26	28	1
7	29	1
12	29	1
13	29	1
16	29	1
18	29	1
20	29	1
21	29	1
23	29	1
25	29	1
26	29	1
1	30	1
4	30	1
5	30	1
7	30	1
9	30	1
10	30	1
12	30	1
14	30	1
16	30	1
18	30	1
20	30	1
21	30	1
23	30	1
24	30	1
25	30	1
28	30	1
29	30	1
2	31	1
4	31	1
7	31	1
11	31	1
12	31	1
13	31	1
14	31	1
16	31	1
17	31	1
18	31	1
19	31	1
20	31	1
22	31	1
23	31	1
24	31	1
26	31	1
28	31	1
2	32	1
5	32	1
8	32	1
9	32	1
10	32	1
14	32	1
15	32	1
20	32	1
21	32	1
22	32	1
23	32	1
24	32	1
26	32	1
29	32	1
31	32	1
2	33	1
5	33	1
7	33	1
10	33	1
12	33	1
13	33	1
19	33	1
23	33	1
24	33	1
25	33	1
26	33	1
27	33	1
28	33	1
1	34	1
3	34	1
4	34	1
6	34	1
7	34	1
11	34	1
17	34	1
19	34	1
20	34	1
23	34	1
24	34	1
26	34	1
30	34	1
31	34	1
32	34	1
1	35	1
3	35	1
5	35	1
6	35	1
8	35	1
9	35	1
11	35	1
12	35	1
15	35	1
16	35	1
18	35	1
22	35	1
24	35	1
25	35	1
26	35	1
27	35	1
32	35	1
33	35	1
34	35	1
3	36	1
5	36	1
6	36	1
11	36	1
12	36	1
13	36	1
15	36	1
16	36	1
20	36	1
21	36	1
25	36	1
27	36	1
28	36	1
29	36	1
32	36	1
33	36	1
35	36	1
1	37	1
5	37	1
6	37	1
7	37	1
9	37	1
10	37	1
12	37	1
13	37	1
16	37	1
17	37	1
19	37	1
20	37	1
23	37	1
24	37	1
25	37	1
27	37	1
29	37	1
34	37	1
35	37	1
2	38	1
3	38	1
6	38	1
9	38	1
10	38	1
14	38	1
17	38	1
21	38	1
23	38	1
24	38	1
25	38	1
26	38	1
28	38	1
29	38	1
30	38	1
31	38	1
32	38	1
33	38	1
36	38	1
2	39	1
3	39	1
6	39	1
8	39	1
11	39	1
12	39	1
13	39	1
18	39	1
20	39	1
21	39	1
22	39	1
25	39	1
26	39	1
27	39	1
28	39	1
29	39	1
30	39	1
32	39	1
33	39	1
34	39	1
1	40	1
3	40	1
5	40	1
6	40	1
7	40	1
9	40	1
10	40	1
11	40	1
12	40	1
14	40	1
21	40	1
24	40	1
25	40	1
26	40	1
27	40	1
32	40	1
33	40	1
37	40	1
1	41	1
2	41	1
6	41	1
8	41	1
9	41	1
11	41	1
12	41	1
14	41	1
15	41	1
16	41	1
19	41	1
24	41	1
26	41	1
35	41	1
37	41	1
38	41	1
39	41	1
40	41	1
1	42	1
4	42	1
5	42	1
7	42	1
8	42	1
9	42	1
10	42	1
11	42	1
12	42	1
13	42	1
14	42	1
15	42	1
16	42	1
17	42	1
19	42	1
20	42	1
22	42	1
23	42	1
24	42	1
26	42	1
27	42	1
28	42	1
30	42	1
31	42	1
32	42	1
34	42	1
36	42	1
38	42	1
40	42	1
2	43	1
3	43	1
5	43	1
7	43	1
8	43	1
11	43	1
12	43	1
16	43	1
18	43	1
20	43	1
21	43	1
22	43	1
23	43	1
25	43	1
27	43	1
28	43	1
29	43	1
35	43	1
36	43	1
39	43	1
42	43	1
2	44	1
3	44	1
4	44	1
7	44	1
8	44	1
10	44	1
15	44	1
22	44	1
28	44	1
30	44	1
34	44	1
35	44	1
36	44	1
37	44	1
38	44	1
41	44	1
42	44	1
43	44	1
2	45	1
8	45	1
9	45	1
12	45	1
13	45	1
14	45	1
15	45	1
16	45	1
17	45	1
19	45	1
23	45	1
27	45	1
29	45	1
30	45	1
37	45	1
39	45	1
40	45	1
41	45	1
42	45	1
4	46	1
6	46	1
8	46	1
11	46	1
12	46	1
13	46	1
14	46	1
15	46	1
22	46	1
28	46	1
29	46	1
30	46	1
31	46	1
32	46	1
33	46	1
34	46	1
40	46	1
43	46	1
44	46	1
45	46	1
3	47	1
4	47	1
5	47	1
6	47	1
7	47	1
8	47	1
9	47	1
12	47	1
16	47	1
19	47	1
20	47	1
21	47	1
25	47	1
27	47	1
29	47	1
31	47	1
32	47	1
33	47	1
35	47	1
36	47	1
38	47	1
39	47	1
41	47	1
44	47	1
45	47	1
46	47	1
1	48	1
3	48	1
4	48	1
7	48	1
9	48	1
12	48	1
13	48	1
16	48	1
17	48	1
20	48	1
22	48	1
23	48	1
25	48	1
26	48	1
32	48	1
33	48	1
34	48	1
35	48	1
38	48	1
44	48	1
45	48	1
46	48	1
47	48	1
1	49	1
8	49	1
10	49	1
12	49	1
13	49	1
15	49	1
17	49	1
19	49	1
23	49	1
26	49	1
29	49	1
32	49	1
36	49	1
38	49	1
41	49	1
42	49	1
45	49	1
46	49	1
47	49	1
2	50	1
3	50	1
4	50	1
5	50	1
13	50	1
15	50	1
17	50	1
19	50	1
20	50	1
26	50	1
27	50	1
29	50	1
33	50	1
38	50	1
39	50	1
40	50	1
42	50	1
46	50	1
47	50	1
49	50	1
2	51	1
3	51	1
4	51	1
7	51	1
8	51	1
9	51	1
11	51	1
