50	613
1	2	1
3	4	1
1	5	1
2	5	1
4	5	1
3	6	1
2	7	1
3	7	1
4	7	1
2	8	1
3	8	1
4	8	1
6	8	1
1	9	1
2	9	1
3	9	1
6	9	1
8	9	1
1	10	1
2	10	1
4	10	1
6	10	1
9	10	1
3	11	1
6	11	1
8	11	1
5	12	1
10	12	1
2	13	1
3	13	1
8	13	1
10	13	1
11	13	1
1	14	1
4	14	1
7	14	1
8	14	1
9	14	1
11	14	1
4	15	1
5	15	1
6	15	1
7	15	1
11	15	1
13	15	1
14	15	1
4	16	1
5	16	1
8	16	1
9	16	1
11	16	1
14	16	1
15	16	1
1	17	1
2	17	1
4	17	1
5	17	1
7	17	1
9	17	1
10	17	1
11	17	1
12	17	1
13	17	1
14	17	1
15	17	1
1	18	1
2	18	1
3	18	1
4	18	1
5	18	1
6	18	1
7	18	1
8	18	1
9	18	1
11	18	1
15	18	1
17	18	1
1	19	1
2	19	1
3	19	1
6	19	1
16	19	1
17	19	1
18	19	1
1	20	1
3	20	1
5	20	1
7	20	1
8	20	1
9	20	1
11	20	1
15	20	1
18	20	1
19	20	1
1	21	1
8	21	1
10	21	1
11	21	1
13	21	1
18	21	1
19	21	1
2	22	1
3	22	1
9	22	1
10	22	1
12	22	1
13	22	1
16	22	1
19	22	1
20	22	1
21	22	1
1	23	1
2	23	1
4	23	1
10	23	1
11	23	1
12	23	1
13	23	1
14	23	1
15	23	1
16	23	1
17	23	1
19	23	1
21	23	1
1	24	1
4	24	1
5	24	1
6	24	1
8	24	1
10	24	1
12	24	1
13	24	1
19	24	1
22	24	1
23	24	1
3	25	1
4	25	1
8	25	1
9	25	1
13	25	1
16	25	1
17	25	1
20	25	1
22	25	1
23	25	1
24	25	1
1	26	1
6	26	1
7	26	1
12	26	1
14	26	1
18	26	1
19	26	1
21	26	1
22	26	1
23	26	1
24	26	1
25	26	1
1	27	1
2	27	1
6	27	1
8	27	1
9	27	1
11	27	1
12	27	1
13	27	1
18	27	1
22	27	1
26	27	1
1	28	1
3	28	1
5	28	1
7	28	1
11	28	1
12	28	1
13	28	1
14	28	1
15	28	1
19	28	1
21	28	1
22	28	1
23	28	1
24	28	1
25	28	1
27	28	1
1	29	1
2	29	1
4	29	1
5	29	1
7	29	1
