30	218
1	2	1
1	3	1
2	3	1
1	4	1
1	5	1
4	5	1
1	6	1
3	6	1
4	6	1
3	7	1
5	7	1
6	7	1
3	8	1
6	8	1
1	9	1
2	9	1
4	9	1
5	9	1
6	9	1
7	9	1
8	9	1
1	10	1
3	10	1
6	10	1
8	10	1
4	11	1
7	11	1
8	11	1
1	12	1
2	12	1
3	12	1
9	12	1
11	12	1
1	13	1
5	13	1
7	13	1
10	13	1
11	13	1
12	13	1
1	14	1
2	14	1
6	14	1
8	14	1
11	14	1
12	14	1
1	15	1
2	15	1
5	15	1
6	15	1
14	15	1
4	16	1
5	16	1
6	16	1
8	16	1
10	16	1
13	16	1
1	17	1
4	17	1
5	17	1
7	17	1
8	17	1
10	17	1
11	17	1
14	17	1
15	17	1
16	17	1
5	18	1
6	18	1
7	18	1
9	18	1
11	18	1
12	18	1
13	18	1
14	18	1
16	18	1
17	18	1
1	19	1
2	19	1
4	19	1
7	19	1
11	19	1
13	19	1
14	19	1
15	19	1
17	19	1
18	19	1
2	20	1
3	20	1
4	20	1
5	20	1
6	20	1
8	20	1
15	20	1
16	20	1
18	20	1
19	20	1
1	21	1
2	21	1
3	21	1
4	21	1
6	21	1
7	21	1
10	21	1
11	21	1
12	21	1
14	21	1
15	21	1
17	21	1
19	21	1
2	22	1
5	22	1
8	22	1
9	22	1
10	22	1
11	22	1
12	22	1
13	22	1
15	22	1
16	22	1
1	23	1
5	23	1
6	23	1
7	23	1
8	23	1
9	23	1
10	23	1
12	23	1
14	23	1
15	23	1
17	23	1
19	23	1
20	23	1
1	24	1
3	24	1
4	24	1
6	24	1
8	24	1
9	24	1
12	24	1
15	24	1
17	24	1
19	24	1
20	24	1
21	24	1
22	24	1
2	25	1
3	25	1
4	25	1
6	25	1
7	25	1
8	25	1
9	25	1
11	25	1
12	25	1
15	25	1
16	25	1
17	25	1
18	25	1
20	25	1
23	25	1
4	26	1
7	26	1
8	26	1
9	26	1
11	26	1
16	26	1
18	26	1
22	26	1
24	26	1
1	27	1
4	27	1
5	27	1
8	27	1
13	27	1
14	27	1
16	27	1
19	27	1
20	27	1
26	27	1
7	28	1
8	28	1
9	28	1
12	28	1
13	28	1
14	28	1
18	28	1
19	28	1
20	28	1
23	28	1
24	28	1
26	28	1
27	28	1
1	29	1
2	29	1
5	29	1
6	29	1
10	29	1
13	29	1
14	29	1
16	29	1
17	29	1
18	29	1
20	29	1
27	29	1
28	29	1
1	30	1
2	30	1
5	30	1
9	30	1
10	30	1
14	30	1
15	30	1
16	30	1
17	30	1
19	30	1
24	30	1
26	30	1
29	30	1
