40	390
1	3	1
2	3	1
1	4	1
2	4	1
2	6	1
4	6	1
5	6	1
1	7	1
2	7	1
5	7	1
3	8	1
6	8	1
2	9	1
3	9	1
4	9	1
5	9	1
7	9	1
8	9	1
1	10	1
2	10	1
8	10	1
2	11	1
5	11	1
7	11	1
8	11	1
9	11	1
10	11	1
2	12	1
4	12	1
5	12	1
6	12	1
7	12	1
9	12	1
1	13	1
2	13	1
3	13	1
4	13	1
6	13	1
7	13	1
9	13	1
10	13	1
12	13	1
1	14	1
4	14	1
5	14	1
8	14	1
10	14	1
12	14	1
13	14	1
1	15	1
2	15	1
4	15	1
5	15	1
7	15	1
9	15	1
10	15	1
12	15	1
14	15	1
5	16	1
6	16	1
7	16	1
10	16	1
11	16	1
14	16	1
2	17	1
4	17	1
8	17	1
11	17	1
15	17	1
16	17	1
1	18	1
3	18	1
5	18	1
7	18	1
8	18	1
9	18	1
14	18	1
16	18	1
1	19	1
2	19	1
3	19	1
4	19	1
9	19	1
12	19	1
13	19	1
17	19	1
18	19	1
1	20	1
2	20	1
3	20	1
8	20	1
9	20	1
11	20	1
12	20	1
13	20	1
14	20	1
15	20	1
16	20	1
18	20	1
1	21	1
2	21	1
5	21	1
6	21	1
7	21	1
8	21	1
12	21	1
15	21	1
16	21	1
17	21	1
18	21	1
20	21	1
2	22	1
6	22	1
8	22	1
9	22	1
11	22	1
13	22	1
15	22	1
16	22	1
18	22	1
1	23	1
9	23	1
12	23	1
13	23	1
16	23	1
17	23	1
18	23	1
19	23	1
20	23	1
22	23	1
1	24	1
2	24	1
8	24	1
9	24	1
12	24	1
13	24	1
14	24	1
15	24	1
16	24	1
17	24	1
18	24	1
19	24	1
21	24	1
1	25	1
2	25	1
3	25	1
5	25	1
6	25	1
7	25	1
8	25	1
13	25	1
15	25	1
16	25	1
20	25	1
21	25	1
24	25	1
4	26	1
9	26	1
11	26	1
12	26	1
13	26	1
15	26	1
18	26	1
20	26	1
25	26	1
2	27	1
3	27	1
4	27	1
5	27	1
6	27	1
7	27	1
9	27	1
10	27	1
12	27	1
13	27	1
14	27	1
18	27	1
19	27	1
20	27	1
24	27	1
25	27	1
2	28	1
3	28	1
4	28	1
5	28	1
6	28	1
8	28	1
9	28	1
10	28	1
11	28	1
12	28	1
18	28	1
19	28	1
21	28	1
25	28	1
26	28	1
3	29	1
4	29	1
6	29	1
7	29	1
8	29	1
11	29	1
13	29	1
14	29	1
15	29	1
17	29	1
18	29	1
19	29	1
20	29	1
26	29	1
28	29	1
6	30	1
7	30	1
10	30	1
11	30	1
13	30	1
15	30	1
19	30	1
23	30	1
24	30	1
5	31	1
6	31	1
8	31	1
10	31	1
11	31	1
12	31	1
13	31	1
14	31	1
15	31	1
17	31	1
23	31	1
27	31	1
30	31	1
5	32	1
6	32	1
9	32	1
10	32	1
12	32	1
14	32	1
17	32	1
18	32	1
19	32	1
22	32	1
28	32	1
29	32	1
30	32	1
1	33	1
2	33	1
3	33	1
5	33	1
6	33	1
10	33	1
23	33	1
24	33	1
26	33	1
29	33	1
1	34	1
3	34	1
4	34	1
6	34	1
8	34	1
12	34	1
13	34	1
14	34	1
16	34	1
20	34	1
21	34	1
22	34	1
23	34	1
26	34	1
27	34	1
29	34	1
30	34	1
31	34	1
32	34	1
33	34	1
1	35	1
3	35	1
5	35	1
6	35	1
10	35	1
11	35	1
13	35	1
15	35	1
18	35	1
19	35	1
23	35	1
24	35	1
27	35	1
28	35	1
30	35	1
31	35	1
32	35	1
34	35	1
7	36	1
10	36	1
11	36	1
16	36	1
18	36	1
21	36	1
22	36	1
25	36	1
27	36	1
28	36	1
30	36	1
31	36	1
34	36	1
35	36	1
3	37	1
4	37	1
5	37	1
6	37	1
8	37	1
9	37	1
10	37	1
12	37	1
16	37	1
17	37	1
18	37	1
19	37	1
21	37	1
22	37	1
24	37	1
25	37	1
26	37	1
28	37	1
30	37	1
32	37	1
33	37	1
34	37	1
35	37	1
2	38	1
4	38	1
8	38	1
9	38	1
10	38	1
11	38	1
13	38	1
16	38	1
17	38	1
18	38	1
20	38	1
21	38	1
23	38	1
27	38	1
28	38	1
32	38	1
36	38	1
4	39	1
6	39	1
7	39	1
8	39	1
9	39	1
12	39	1
15	39	1
17	39	1
19	39	1
21	39	1
24	39	1
25	39	1
26	39	1
27	39	1
29	39	1
30	39	1
31	39	1
34	39	1
35	39	1
37	39	1
2	40	1
3	40	1
7	40	1
8	40	1
9	40	1
10	40	1
11	40	1
13	40	1
15	40	1
17	40	1
18	40	1
21	40	1
23	40	1
25	40	1
26	40	1
27	40	1
32	40	1
33	40	1
35	40	1
37	40	1
38	40	1
39	40	1
