90	2003
2	4	1
1	6	1
3	6	1
5	6	1
3	7	1
6	7	1
1	8	1
2	8	1
3	8	1
4	8	1
5	8	1
6	8	1
7	8	1
4	9	1
5	9	1
2	10	1
5	10	1
6	10	1
7	10	1
9	10	1
1	11	1
3	11	1
5	11	1
6	11	1
9	11	1
1	12	1
4	12	1
5	12	1
10	12	1
3	13	1
6	13	1
7	13	1
8	13	1
9	13	1
5	14	1
7	14	1
8	14	1
9	14	1
12	14	1
13	14	1
4	15	1
7	15	1
8	15	1
9	15	1
10	15	1
11	15	1
13	15	1
14	15	1
1	16	1
2	16	1
3	16	1
4	16	1
5	16	1
8	16	1
12	16	1
14	16	1
1	17	1
2	17	1
3	17	1
5	17	1
6	17	1
7	17	1
10	17	1
11	17	1
12	17	1
16	17	1
3	18	1
5	18	1
9	18	1
10	18	1
12	18	1
13	18	1
14	18	1
15	18	1
16	18	1
17	18	1
3	19	1
4	19	1
10	19	1
11	19	1
12	19	1
15	19	1
16	19	1
17	19	1
1	20	1
2	20	1
3	20	1
4	20	1
6	20	1
8	20	1
11	20	1
12	20	1
13	20	1
14	20	1
16	20	1
18	20	1
1	21	1
6	21	1
10	21	1
12	21	1
20	21	1
1	22	1
4	22	1
5	22	1
6	22	1
9	22	1
11	22	1
13	22	1
14	22	1
15	22	1
16	22	1
17	22	1
1	23	1
7	23	1
9	23	1
10	23	1
12	23	1
17	23	1
20	23	1
22	23	1
1	24	1
2	24	1
3	24	1
4	24	1
5	24	1
7	24	1
8	24	1
9	24	1
14	24	1
16	24	1
18	24	1
21	24	1
23	24	1
3	25	1
7	25	1
8	25	1
11	25	1
12	25	1
17	25	1
20	25	1
21	25	1
22	25	1
1	26	1
2	26	1
6	26	1
8	26	1
9	26	1
11	26	1
12	26	1
13	26	1
14	26	1
15	26	1
17	26	1
21	26	1
22	26	1
24	26	1
1	27	1
2	27	1
3	27	1
7	27	1
9	27	1
10	27	1
11	27	1
16	27	1
17	27	1
18	27	1
19	27	1
20	27	1
26	27	1
4	28	1
6	28	1
7	28	1
8	28	1
11	28	1
12	28	1
13	28	1
15	28	1
16	28	1
17	28	1
22	28	1
23	28	1
26	28	1
27	28	1
2	29	1
3	29	1
4	29	1
5	29	1
7	29	1
8	29	1
10	29	1
11	29	1
14	29	1
17	29	1
20	29	1
21	29	1
23	29	1
25	29	1
28	29	1
3	30	1
4	30	1
8	30	1
9	30	1
12	30	1
13	30	1
14	30	1
15	30	1
18	30	1
19	30	1
20	30	1
21	30	1
23	30	1
25	30	1
1	31	1
2	31	1
3	31	1
4	31	1
6	31	1
